id,body,actor,postID,likes,display_time,time,condition,class
,It will workout just fine your love for eachother is strong,ArthurM,83NS2,,,0:00,3,
,REAL ASF,CallieZ,93NN5,,,0:58,3,
,things will be better ❤️‍🩹,MarinaT,93NS1,,,0:00,3,
,it’s so sad we’re all growing up☹️,ZoeZ,93NS1,,,0:00,3,
,I hate when that happens,VioletO,104NN4,,,0:00,4,
,"welp, you got this",LucasT,104NN5,,,0:00,4,
,so real,EmieY,104NN5,,,0:00,4,
,im crying w you,LucasT,114NN5,,,0:00,4,
,thinking of you,MarinaT,114NS1,,,0:00,4,
,literally omw to help you rn :),VioletO,114NS1,,,0:00,4,
,my room is HIDEOUS 😀,EmieY,124NN5,,,0:00,4,
,me too you got this,LizzyW,124NS2,,,0:00,4,
,it can be hard but don’t let it get to you 🫶,HazelS,134NN3,,,0:00,4,
,😕😕,ZoeZ,134NN4,,,0:00,4,
,That’s literally me,CallieZ,134NS1,,,0:00,4,
,YOO IM SO WEAK 😭,VioletO,134NS2,,,0:00,4,
,Hope theyre in a better place 😔,JamesS,144NN3,,,0:00,4,
,Love it!!!,AimeeL,144NN4,,,0:00,4,
,Wish that was me!!!,JamesS,14NN4,,,0:00,4,
,"So sorry, sending love 💕",CharlotteS,14NN5,,,2:00,4,
,<3,CharlotteS,14NS3,,,0:00,4,
,we’ve all been there!! sending love,LizzyW,154NN3,,,0:00,4,
,been there before🥲u got this,GracieP,154NN5,,,0:00,4,
,girl clean ur room….,MarinaT,154NS1,,,0:53,4,
,Itll get better,JamesS,23NN5,,,2:35,4,
,been there before🥲u got this,GracieP,24NS1,,,1:17,4,
,:(,VioletO,24NN5,,,0:00,4,
,too real,ZoeZ,34NN3,,,1:02,4,
,i feel you 💔,MarinaT,34NN4,,,0:00,4,
,literally omw to help you rn :),VioletO,34NN5,,,0:00,4,
,"It gets easier, take your time yo",JamesS,34NS1,,,0:00,4,
,Thinking of you,CallieZ,34NS2,,,0:00,4,
,so ready to get out of high school,HazelS,44NN4,,,0:00,4,
,IM NOT READY TO GO🥲,EmieY,44NN4,,,0:00,4,
,🥲❤️,VioletO,44NN5,,,0:55,4,
,too real,ZoeZ,43NN4 ,,,0:00,3,
,When’s winter break,CallieZ,44NS2,,,0:00,4,
,so sorry😕 i know what you’re feeling,LizzyW,54NN2,,,0:00,4,
,REAL ASF,CallieZ,54NN4,,,0:00,4,
,:(,VioletO,64NN3,,,0:47,4,
,☹️☹️☹️,MarinaT,64NN4,,,0:00,4,
,Sending hearts your way ❤,GracieP,64NN5,,,0:00,4,
,everything will be okay 🫶🫶,ZoeZ,64NN5,,,0:00,4,
,they’ll always be with you 🕊️,HazelS,64NS1,,,0:00,4,
,I feel you,GracieP,74NN4,,,0:00,4,
,Awh I’m sorry,ArthurM,74NS1,,,0:00,4,
,Aww sending my love!❤️,AimeeL,84NN3,,,0:00,4,
,I feel you 💔,MarinaT,84NN4,,,0:00,4,
,That drives me crazyyy 🙄,GracieP,94NN5,,,2:21,4,
,That’s horrible I’m sorry,BrianD,94NS1,,,0:00,4,
,me too its okay,ZoeZ,94NS2,,,0:00,4,
